sub_num,trial_num,trial_type,wordA,wordB,wordC,wordD,rating,RT
12,8,real,hive,bee,hangar,airplane,6,4683
12,9,attention check,one,two,three,four,7,3678
12,10,real,brain,neuron,computer,chip,7,4993
12,11,real,person,clothes,bird,feathers,7,5473
12,12,real,hat,head,disguise,identity,2,11284
12,13,real,password,access,key,safe,3,9577
12,14,real,dog,mailman,cat,mouse,7,7260
12,15,real,wedding,bride,aquarium,fish,3,6596
12,16,real,student,backpack,rabbit,burrow,5,14677
12,17,real,lawyer,books,chemist,beakers,7,4740
12,18,attention check,one,two,three,zero,1,6174
13,1,real,hat,head,disguise,identity,2,8629
13,2,filler,class,student,child,adult,1,8510
13,3,real,snail,shell,rabbit,burrow,6,4893
13,4,real,mother,baby,frog,tadpole,7,2735
13,5,real,flock,bird,hive,bee,5,7583
13,6,filler,mall,shops,widow,husband,1,3250
13,7,real,cocoon,butterfly,egg,chicken,7,2584
13,8,filler,slavery,freedom,movie,scene,1,4031
13,9,attention check,one,two,three,zero,1,3590
13,10,real,password,access,key,safe,6,7147
13,11,real,brain,neuron,computer,chip,7,4727
13,12,real,lawyer,books,librarian,books,4,4129
13,13,real,wedding,bride,aquarium,fish,5,6872
13,14,filler,beverage,water,deceit,truth,1,8104
13,15,real,foot,shoe,wall,painting,3,6488
13,16,real,person,clothes,cat,whiskers,4,5936
13,17,real,dog,mailman,cat,mouse,7,3061
13,18,attention check,one,two,three,four,7,2391
14,1,real,foot,shoe,wall,painting,1,6252
14,2,real,person,clothes,cat,whiskers,2,6569
14,3,real,lawyer,books,librarian,books,1,4363
14,4,real,brain,neuron,computer,chip,4,4617
14,5,real,cocoon,butterfly,egg,chicken,7,5388
14,6,real,dog,mailman,cat,mouse,7,7140
14,7,real,password,access,key,safe,7,7126
14,8,real,mother,baby,frog,tadpole,7,3243
14,9,attention check,one,two,three,four,7,5515
14,10,filler,slavery,freedom,movie,scene,1,5318
14,11,filler,mall,shops,widow,husband,1,4284
14,12,filler,beverage,water,deceit,truth,1,4625
14,13,real,snail,shell,rabbit,burrow,4,6205
14,14,real,flock,bird,hive,bee,7,2879
14,15,real,wedding,bride,aquarium,fish,1,4681
14,16,filler,class,student,child,adult,1,2728
14,17,real,hat,head,disguise,identity,1,3499
14,18,attention check,one,two,three,zero,1,6904
15,1,filler,mall,shops,widow,husband,1,9305
15,2,real,cocoon,butterfly,egg,chicken,2,5543
15,3,real,snail,shell,rabbit,burrow,7,6190
15,4,real,lawyer,books,librarian,books,4,3517
15,5,filler,slavery,freedom,movie,scene,1,3733
15,6,real,wedding,bride,carton,milk,5,2717
15,7,real,dog,mailman,horse,hay,1,3529
15,8,filler,beverage,water,deceit,truth,1,4198
15,9,attention check,one,two,three,four,4,3749
15,10,real,mother,baby,frog,tadpole,7,7287
15,11,real,person,clothes,cat,whiskers,4,3220
15,12,real,mask,face,disguise,identity,2,7887
15,13,real,wrist,bracelet,wall,painting,5,3250
